object_type,clr_property,enum_type,members
AbsorptionColumn,OperationMode,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn+OpMode,"Absorber,Extractor"
AbsorptionColumn,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
AbsorptionColumn,SolverScheme,DWSIM.UnitOperations.UnitOperations.Column+SolvingScheme,"Ideal_K_Init,Ideal_Enthalpy_Init,Ideal_K_and_Enthalpy_Init,Direct"
AbsorptionColumn,CondenserType,DWSIM.UnitOperations.UnitOperations.Column+condtype,"Total_Condenser,Partial_Condenser,Full_Reflux"
AbsorptionColumn,ColumnType,DWSIM.UnitOperations.UnitOperations.Column+ColType,"DistillationColumn,AbsorptionColumn,ReboiledAbsorber,RefluxedAbsorber"
AbsorptionColumn,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
AnalogGauge,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
AnalogGauge,SelectedPropertyType,DWSIM.Interfaces.Enums.UnitOfMeasure,"accel,activity,activityCoefficient,area,boilingPointTemperature,cakeresistance,cinematic_viscosity,compressibility,compressibilityFactor,deltaP,deltaT,density,diameter,distance,enthalpy,entropy,excessEnthalpy,excessEntropy,force,foulingfactor,fugacity,fugacityCoefficient,gor,head,heat_transf_coeff,heatCapacityCp,heatCapacityCv,heatflow,idealGasHeatCapacity,jouleThomsonCoefficient,kvalue,logFugacityCoefficient,logKvalue,mass,mass_conc,massflow,massfraction,mediumresistance,meltingTemperature,molar_conc,molar_enthalpy,molar_entropy,molar_volume,molarflow,molarfraction,molecularWeight,pressure,reac_rate,reac_rate_heterog,spec_vol,speedOfSound,surfaceTension,temperature,thermalConductivity,thermalConductivityOfLiquid,thermalConductivityOfVapor,thickness,time,vaporPressure,velocity,viscosity,viscosityOfLiquid,viscosityOfVapor,volume,volumetricFlow,diffusivity,none,conductance,heat,mole,emission_factor,specificpower"
AnalogGauge,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
ComponentSeparator,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
ComponentSeparator,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Compressor,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Compressor,CalcMode,DWSIM.UnitOperations.UnitOperations.Compressor+CalculationMode,"OutletPressure,Delta_P,EnergyStream,PowerRequired,Head,Curves,PressureRatio"
Compressor,ProcessPath,DWSIM.UnitOperations.UnitOperations.Compressor+ProcessPathType,"Adiabatic,Polytropic"
Compressor,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Controller_PID,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
