object_type,status,clr_class,param_id,id_style,unit,default
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,PROP_AC_0,opaque,Pa,101325.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,PROP_AC_1,opaque,Pa,101325.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,PROP_AC_2,opaque,,12.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_1,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_2,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_3,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_4,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_5,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_6,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_7,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_8,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_9,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_10,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_11,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Stage_Efficiency_12,named,,1.0
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Estimated Height,named,mm,nan
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Estimated Diameter,named,mm,nan
AbsorptionColumn,OK,DWSIM.UnitOperations.UnitOperations.AbsorptionColumn,Number of Stages,named,,12.0
AirCooler2,ADD_ERR,,,,,
